doctor_id,territory_id,rep_id,doctor_specialty
DR0001,T01,R001,GP
DR0002,T01,R002,Cardiologist
DR0003,T01,R003,Endocrinologist
DR0004,T01,R004,Neurologist
DR0005,T01,R005,GP
DR0006,T01,R001,Cardiologist
DR0007,T01,R002,Endocrinologist
DR0008,T01,R003,Neurologist
DR0009,T01,R004,GP
DR0010,T01,R005,Cardiologist
DR0011,T01,R001,Endocrinologist
DR0012,T01,R002,Neurologist
DR0013,T01,R003,GP
DR0014,T01,R004,Cardiologist
DR0015,T01,R005,Endocrinologist
DR0016,T01,R001,Neurologist
DR0017,T01,R002,GP
DR0018,T01,R003,Cardiologist
DR0019,T01,R004,Endocrinologist
DR0020,T01,R005,Neurologist
DR0021,T01,R001,GP
DR0022,T01,R002,Cardiologist
DR0023,T01,R003,Endocrinologist
DR0024,T01,R004,Neurologist
DR0025,T01,R005,GP
DR0026,T01,R001,Cardiologist
DR0027,T01,R002,Endocrinologist
DR0028,T01,R003,Neurologist
DR0029,T01,R004,GP
DR0030,T01,R005,Cardiologist
DR0031,T02,R006,GP
DR0032,T02,R007,Cardiologist
DR0033,T02,R008,Endocrinologist
DR0034,T02,R009,Neurologist
DR0035,T02,R010,GP
DR0036,T02,R006,Cardiologist
DR0037,T02,R007,Endocrinologist
DR0038,T02,R008,Neurologist
DR0039,T02,R009,GP
DR0040,T02,R010,Cardiologist
DR0041,T02,R006,Endocrinologist
DR0042,T02,R007,Neurologist
DR0043,T02,R008,GP
DR0044,T02,R009,Cardiologist
DR0045,T02,R010,Endocrinologist
DR0046,T02,R006,Neurologist
DR0047,T02,R007,GP
DR0048,T02,R008,Cardiologist
DR0049,T02,R009,Endocrinologist
DR0050,T02,R010,Neurologist
DR0051,T02,R006,GP
DR0052,T02,R007,Cardiologist
DR0053,T02,R008,Endocrinologist
DR0054,T02,R009,Neurologist
DR0055,T02,R010,GP
DR0056,T02,R006,Cardiologist
DR0057,T02,R007,Endocrinologist
DR0058,T02,R008,Neurologist
DR0059,T02,R009,GP
DR0060,T02,R010,Cardiologist
DR0061,T03,R011,GP
DR0062,T03,R012,Cardiologist
DR0063,T03,R013,Endocrinologist
DR0064,T03,R014,Neurologist
DR0065,T03,R015,GP
DR0066,T03,R011,Cardiologist
DR0067,T03,R012,Endocrinologist
DR0068,T03,R013,Neurologist
DR0069,T03,R014,GP
DR0070,T03,R015,Cardiologist
DR0071,T03,R011,Endocrinologist
DR0072,T03,R012,Neurologist
DR0073,T03,R013,GP
DR0074,T03,R014,Cardiologist
DR0075,T03,R015,Endocrinologist
DR0076,T03,R011,Neurologist
DR0077,T03,R012,GP
DR0078,T03,R013,Cardiologist
DR0079,T03,R014,Endocrinologist
DR0080,T03,R015,Neurologist
DR0081,T03,R011,GP
DR0082,T03,R012,Cardiologist
DR0083,T03,R013,Endocrinologist
DR0084,T03,R014,Neurologist
DR0085,T03,R015,GP
DR0086,T03,R011,Cardiologist
DR0087,T03,R012,Endocrinologist
DR0088,T03,R013,Neurologist
DR0089,T03,R014,GP
DR0090,T03,R015,Cardiologist
DR0091,T04,R016,GP
DR0092,T04,R017,Cardiologist
DR0093,T04,R018,Endocrinologist
DR0094,T04,R019,Neurologist
DR0095,T04,R020,GP
DR0096,T04,R016,Cardiologist
DR0097,T04,R017,Endocrinologist
DR0098,T04,R018,Neurologist
DR0099,T04,R019,GP
DR0100,T04,R020,Cardiologist
DR0101,T04,R016,Endocrinologist
DR0102,T04,R017,Neurologist
DR0103,T04,R018,GP
DR0104,T04,R019,Cardiologist
DR0105,T04,R020,Endocrinologist
DR0106,T04,R016,Neurologist
DR0107,T04,R017,GP
DR0108,T04,R018,Cardiologist
DR0109,T04,R019,Endocrinologist
DR0110,T04,R020,Neurologist
