rep_id,territory_id,doctor_id,doctor_specialty,month,monthly_call_count,rx_volume,_true_vmax,_true_km,_true_territory_re
R001,T01,DR0001,GP,1,5,18.7,25.0,4.0,2.437736638035451
R001,T01,DR0001,GP,2,1,8.2,25.0,4.0,2.437736638035451
R001,T01,DR0001,GP,3,5,21.7,25.0,4.0,2.437736638035451
R001,T01,DR0001,GP,4,2,12.7,25.0,4.0,2.437736638035451
R001,T01,DR0001,GP,5,6,18.4,25.0,4.0,2.437736638035451
R001,T01,DR0001,GP,6,2,11.0,25.0,4.0,2.437736638035451
R001,T01,DR0001,GP,7,6,25.3,25.0,4.0,2.437736638035451
R001,T01,DR0001,GP,8,5,19.5,25.0,4.0,2.437736638035451
R001,T01,DR0001,GP,9,1,6.6,25.0,4.0,2.437736638035451
R001,T01,DR0001,GP,10,3,10.5,25.0,4.0,2.437736638035451
R001,T01,DR0001,GP,11,3,13.7,25.0,4.0,2.437736638035451
R001,T01,DR0001,GP,12,3,12.0,25.0,4.0,2.437736638035451
R002,T01,DR0002,Cardiologist,1,3,21.8,45.0,4.0,2.437736638035451
R002,T01,DR0002,Cardiologist,2,4,24.4,45.0,4.0,2.437736638035451
R002,T01,DR0002,Cardiologist,3,2,13.6,45.0,4.0,2.437736638035451
R002,T01,DR0002,Cardiologist,4,8,29.8,45.0,4.0,2.437736638035451
R002,T01,DR0002,Cardiologist,5,4,17.4,45.0,4.0,2.437736638035451
R002,T01,DR0002,Cardiologist,6,6,30.8,45.0,4.0,2.437736638035451
R002,T01,DR0002,Cardiologist,7,3,31.3,45.0,4.0,2.437736638035451
R002,T01,DR0002,Cardiologist,8,6,20.4,45.0,4.0,2.437736638035451
R002,T01,DR0002,Cardiologist,9,6,17.3,45.0,4.0,2.437736638035451
R002,T01,DR0002,Cardiologist,10,4,32.6,45.0,4.0,2.437736638035451
R002,T01,DR0002,Cardiologist,11,4,24.6,45.0,4.0,2.437736638035451
R002,T01,DR0002,Cardiologist,12,5,22.9,45.0,4.0,2.437736638035451
R003,T01,DR0003,Endocrinologist,1,7,30.4,52.5,4.0,2.437736638035451
R003,T01,DR0003,Endocrinologist,2,2,14.5,52.5,4.0,2.437736638035451
R003,T01,DR0003,Endocrinologist,3,9,56.9,52.5,4.0,2.437736638035451
R003,T01,DR0003,Endocrinologist,4,5,28.7,52.5,4.0,2.437736638035451
R003,T01,DR0003,Endocrinologist,5,7,39.0,52.5,4.0,2.437736638035451
R003,T01,DR0003,Endocrinologist,6,3,24.6,52.5,4.0,2.437736638035451
R003,T01,DR0003,Endocrinologist,7,7,40.5,52.5,4.0,2.437736638035451
R003,T01,DR0003,Endocrinologist,8,7,38.1,52.5,4.0,2.437736638035451
R003,T01,DR0003,Endocrinologist,9,3,46.8,52.5,4.0,2.437736638035451
R003,T01,DR0003,Endocrinologist,10,5,42.7,52.5,4.0,2.437736638035451
R003,T01,DR0003,Endocrinologist,11,8,49.6,52.5,4.0,2.437736638035451
R003,T01,DR0003,Endocrinologist,12,7,26.7,52.5,4.0,2.437736638035451
R004,T01,DR0004,Neurologist,1,4,25.7,37.5,4.0,2.437736638035451
R004,T01,DR0004,Neurologist,2,2,10.6,37.5,4.0,2.437736638035451
R004,T01,DR0004,Neurologist,3,1,10.5,37.5,4.0,2.437736638035451
R004,T01,DR0004,Neurologist,4,3,20.2,37.5,4.0,2.437736638035451
R004,T01,DR0004,Neurologist,5,3,18.1,37.5,4.0,2.437736638035451
R004,T01,DR0004,Neurologist,6,3,14.0,37.5,4.0,2.437736638035451
R004,T01,DR0004,Neurologist,7,3,23.3,37.5,4.0,2.437736638035451
R004,T01,DR0004,Neurologist,8,8,39.6,37.5,4.0,2.437736638035451
R004,T01,DR0004,Neurologist,9,4,13.7,37.5,4.0,2.437736638035451
R004,T01,DR0004,Neurologist,10,3,17.0,37.5,4.0,2.437736638035451
R004,T01,DR0004,Neurologist,11,6,27.8,37.5,4.0,2.437736638035451
R004,T01,DR0004,Neurologist,12,7,32.0,37.5,4.0,2.437736638035451
R005,T01,DR0005,GP,1,3,20.7,25.0,4.0,2.437736638035451
R005,T01,DR0005,GP,2,2,8.0,25.0,4.0,2.437736638035451
R005,T01,DR0005,GP,3,6,14.7,25.0,4.0,2.437736638035451
R005,T01,DR0005,GP,4,3,7.4,25.0,4.0,2.437736638035451
R005,T01,DR0005,GP,5,6,11.7,25.0,4.0,2.437736638035451
R005,T01,DR0005,GP,6,2,9.3,25.0,4.0,2.437736638035451
R005,T01,DR0005,GP,7,4,12.0,25.0,4.0,2.437736638035451
R005,T01,DR0005,GP,8,1,8.2,25.0,4.0,2.437736638035451
R005,T01,DR0005,GP,9,6,21.5,25.0,4.0,2.437736638035451
R005,T01,DR0005,GP,10,4,26.7,25.0,4.0,2.437736638035451
R005,T01,DR0005,GP,11,2,9.6,25.0,4.0,2.437736638035451
R005,T01,DR0005,GP,12,1,10.3,25.0,4.0,2.437736638035451
R001,T01,DR0006,Cardiologist,1,7,17.4,45.0,4.0,2.437736638035451
R001,T01,DR0006,Cardiologist,2,7,32.9,45.0,4.0,2.437736638035451
R001,T01,DR0006,Cardiologist,3,2,18.3,45.0,4.0,2.437736638035451
R001,T01,DR0006,Cardiologist,4,3,21.1,45.0,4.0,2.437736638035451
R001,T01,DR0006,Cardiologist,5,3,12.1,45.0,4.0,2.437736638035451
R001,T01,DR0006,Cardiologist,6,6,24.3,45.0,4.0,2.437736638035451
R001,T01,DR0006,Cardiologist,7,5,18.9,45.0,4.0,2.437736638035451
R001,T01,DR0006,Cardiologist,8,5,21.2,45.0,4.0,2.437736638035451
R001,T01,DR0006,Cardiologist,9,3,18.7,45.0,4.0,2.437736638035451
R001,T01,DR0006,Cardiologist,10,6,41.0,45.0,4.0,2.437736638035451
R001,T01,DR0006,Cardiologist,11,6,32.1,45.0,4.0,2.437736638035451
R001,T01,DR0006,Cardiologist,12,3,28.4,45.0,4.0,2.437736638035451
R002,T01,DR0007,Endocrinologist,1,6,25.7,52.5,4.0,2.437736638035451
R002,T01,DR0007,Endocrinologist,2,3,19.6,52.5,4.0,2.437736638035451
R002,T01,DR0007,Endocrinologist,3,9,41.0,52.5,4.0,2.437736638035451
R002,T01,DR0007,Endocrinologist,4,9,45.8,52.5,4.0,2.437736638035451
R002,T01,DR0007,Endocrinologist,5,4,36.2,52.5,4.0,2.437736638035451
R002,T01,DR0007,Endocrinologist,6,4,35.9,52.5,4.0,2.437736638035451
R002,T01,DR0007,Endocrinologist,7,8,34.8,52.5,4.0,2.437736638035451
R002,T01,DR0007,Endocrinologist,8,2,21.7,52.5,4.0,2.437736638035451
R002,T01,DR0007,Endocrinologist,9,7,50.9,52.5,4.0,2.437736638035451
R002,T01,DR0007,Endocrinologist,10,5,25.0,52.5,4.0,2.437736638035451
R002,T01,DR0007,Endocrinologist,11,3,21.8,52.5,4.0,2.437736638035451
R002,T01,DR0007,Endocrinologist,12,5,30.2,52.5,4.0,2.437736638035451
R003,T01,DR0008,Neurologist,1,3,22.1,37.5,4.0,2.437736638035451
R003,T01,DR0008,Neurologist,2,9,22.7,37.5,4.0,2.437736638035451
R003,T01,DR0008,Neurologist,3,4,25.5,37.5,4.0,2.437736638035451
R003,T01,DR0008,Neurologist,4,2,15.7,37.5,4.0,2.437736638035451
R003,T01,DR0008,Neurologist,5,1,10.6,37.5,4.0,2.437736638035451
R003,T01,DR0008,Neurologist,6,11,49.3,37.5,4.0,2.437736638035451
R003,T01,DR0008,Neurologist,7,8,18.2,37.5,4.0,2.437736638035451
R003,T01,DR0008,Neurologist,8,2,18.3,37.5,4.0,2.437736638035451
R003,T01,DR0008,Neurologist,9,4,18.1,37.5,4.0,2.437736638035451
R003,T01,DR0008,Neurologist,10,4,24.2,37.5,4.0,2.437736638035451
R003,T01,DR0008,Neurologist,11,7,22.6,37.5,4.0,2.437736638035451
R003,T01,DR0008,Neurologist,12,2,16.0,37.5,4.0,2.437736638035451
R004,T01,DR0009,GP,1,1,6.5,25.0,4.0,2.437736638035451
R004,T01,DR0009,GP,2,4,28.3,25.0,4.0,2.437736638035451
R004,T01,DR0009,GP,3,3,12.5,25.0,4.0,2.437736638035451
R004,T01,DR0009,GP,4,1,8.5,25.0,4.0,2.437736638035451
R004,T01,DR0009,GP,5,5,19.0,25.0,4.0,2.437736638035451
R004,T01,DR0009,GP,6,6,26.5,25.0,4.0,2.437736638035451
R004,T01,DR0009,GP,7,1,8.1,25.0,4.0,2.437736638035451
R004,T01,DR0009,GP,8,3,8.6,25.0,4.0,2.437736638035451
R004,T01,DR0009,GP,9,4,10.0,25.0,4.0,2.437736638035451
R004,T01,DR0009,GP,10,5,11.7,25.0,4.0,2.437736638035451
R004,T01,DR0009,GP,11,2,11.9,25.0,4.0,2.437736638035451
R004,T01,DR0009,GP,12,6,15.6,25.0,4.0,2.437736638035451
R005,T01,DR0010,Cardiologist,1,4,27.0,45.0,4.0,2.437736638035451
R005,T01,DR0010,Cardiologist,2,3,17.9,45.0,4.0,2.437736638035451
R005,T01,DR0010,Cardiologist,3,3,28.7,45.0,4.0,2.437736638035451
R005,T01,DR0010,Cardiologist,4,1,11.3,45.0,4.0,2.437736638035451
R005,T01,DR0010,Cardiologist,5,3,20.6,45.0,4.0,2.437736638035451
R005,T01,DR0010,Cardiologist,6,1,13.6,45.0,4.0,2.437736638035451
R005,T01,DR0010,Cardiologist,7,1,10.9,45.0,4.0,2.437736638035451
R005,T01,DR0010,Cardiologist,8,6,16.6,45.0,4.0,2.437736638035451
R005,T01,DR0010,Cardiologist,9,5,20.7,45.0,4.0,2.437736638035451
R005,T01,DR0010,Cardiologist,10,2,16.6,45.0,4.0,2.437736638035451
R005,T01,DR0010,Cardiologist,11,2,21.3,45.0,4.0,2.437736638035451
R005,T01,DR0010,Cardiologist,12,4,15.7,45.0,4.0,2.437736638035451
R001,T01,DR0011,Endocrinologist,1,1,20.3,52.5,4.0,2.437736638035451
R001,T01,DR0011,Endocrinologist,2,8,29.7,52.5,4.0,2.437736638035451
R001,T01,DR0011,Endocrinologist,3,6,37.0,52.5,4.0,2.437736638035451
R001,T01,DR0011,Endocrinologist,4,2,14.5,52.5,4.0,2.437736638035451
R001,T01,DR0011,Endocrinologist,5,6,25.8,52.5,4.0,2.437736638035451
R001,T01,DR0011,Endocrinologist,6,3,24.4,52.5,4.0,2.437736638035451
R001,T01,DR0011,Endocrinologist,7,8,27.4,52.5,4.0,2.437736638035451
R001,T01,DR0011,Endocrinologist,8,3,32.0,52.5,4.0,2.437736638035451
R001,T01,DR0011,Endocrinologist,9,7,47.2,52.5,4.0,2.437736638035451
R001,T01,DR0011,Endocrinologist,10,4,24.8,52.5,4.0,2.437736638035451
R001,T01,DR0011,Endocrinologist,11,6,25.5,52.5,4.0,2.437736638035451
R001,T01,DR0011,Endocrinologist,12,5,19.8,52.5,4.0,2.437736638035451
R002,T01,DR0012,Neurologist,1,7,23.9,37.5,4.0,2.437736638035451
R002,T01,DR0012,Neurologist,2,3,29.3,37.5,4.0,2.437736638035451
R002,T01,DR0012,Neurologist,3,2,23.2,37.5,4.0,2.437736638035451
R002,T01,DR0012,Neurologist,4,5,29.6,37.5,4.0,2.437736638035451
R002,T01,DR0012,Neurologist,5,4,21.3,37.5,4.0,2.437736638035451
R002,T01,DR0012,Neurologist,6,4,14.8,37.5,4.0,2.437736638035451
R002,T01,DR0012,Neurologist,7,4,19.1,37.5,4.0,2.437736638035451
R002,T01,DR0012,Neurologist,8,2,11.6,37.5,4.0,2.437736638035451
R002,T01,DR0012,Neurologist,9,4,20.0,37.5,4.0,2.437736638035451
R002,T01,DR0012,Neurologist,10,7,35.9,37.5,4.0,2.437736638035451
R002,T01,DR0012,Neurologist,11,4,19.1,37.5,4.0,2.437736638035451
R002,T01,DR0012,Neurologist,12,4,23.9,37.5,4.0,2.437736638035451
R003,T01,DR0013,GP,1,4,12.8,25.0,4.0,2.437736638035451
R003,T01,DR0013,GP,2,2,11.0,25.0,4.0,2.437736638035451
R003,T01,DR0013,GP,3,3,11.3,25.0,4.0,2.437736638035451
R003,T01,DR0013,GP,4,5,10.2,25.0,4.0,2.437736638035451
R003,T01,DR0013,GP,5,5,15.6,25.0,4.0,2.437736638035451
R003,T01,DR0013,GP,6,2,10.8,25.0,4.0,2.437736638035451
R003,T01,DR0013,GP,7,4,11.2,25.0,4.0,2.437736638035451
R003,T01,DR0013,GP,8,1,9.2,25.0,4.0,2.437736638035451
R003,T01,DR0013,GP,9,4,13.7,25.0,4.0,2.437736638035451
R003,T01,DR0013,GP,10,5,18.4,25.0,4.0,2.437736638035451
R003,T01,DR0013,GP,11,1,10.5,25.0,4.0,2.437736638035451
R003,T01,DR0013,GP,12,6,17.0,25.0,4.0,2.437736638035451
R004,T01,DR0014,Cardiologist,1,1,8.1,45.0,4.0,2.437736638035451
R004,T01,DR0014,Cardiologist,2,3,20.2,45.0,4.0,2.437736638035451
R004,T01,DR0014,Cardiologist,3,8,36.4,45.0,4.0,2.437736638035451
R004,T01,DR0014,Cardiologist,4,4,17.6,45.0,4.0,2.437736638035451
